"","any_state","any_location","any_both_sexes_2002","any_females_2002","any_males_2002","binge_both_sexes_2002","binge_females_2002","binge_males_2002"
"1","Alabama","Baldwin County",54,45.7,62.5,17.9,9.7,26.4
"2","Alabama","Shelby County",48.4,40.6,56.4,13.8,6.6,21.1
"3","Alabama","Jefferson County",48.3,40.3,56.5,15.7,7.9,23.9
"4","Alabama","Lee County",48.2,42.4,54.2,16.3,8.9,24
"5","Alabama","Montgomery County",47.5,40.8,54.3,15.1,7.6,22.9
"6","Alabama","Mobile County",46.8,37.4,56.6,16,8.5,23.8
"7","Alabama","Madison County",45.3,37.5,53.5,12.2,6.1,18.5
"8","Alabama","Houston County",43.1,34.2,52.3,14.4,7.9,21.1
"9","Alabama","Tuscaloosa County",43,34.8,51.5,14.4,6.9,22.1
"10","Alabama","Macon County",41.5,34.3,49,13.5,6.3,20.9
"11","Alabama","Dale County",41,31.4,51,14.2,7,21.7
"12","Alabama","Alabama",40.7,32.1,49.6,NA,NA,NA
"13","Alabama","Elmore County",40.6,32.8,48.8,13.3,6,20.9
"14","Alabama","Russell County",39.9,32.9,47.1,13.1,6.4,20.1
"15","Alabama","Autauga County",39.4,29.4,49.7,13.6,6.6,20.8
"16","Alabama","Coffee County",39.4,29.9,49.2,13.2,5.6,21
"17","Alabama","Dallas County",38.8,29.9,48,13.2,5.7,21
"18","Alabama","Calhoun County",38,27.9,48.4,12.2,5.6,19.1
"19","Alabama","Tallapoosa County",37.5,27.5,47.7,13.3,5.4,21.4
"20","Alabama","Pike County",37.4,28.2,47,12.9,5.7,20.4
"21","Alabama","Marengo County",37.1,27.3,47.4,12.7,5.7,20
"22","Alabama","Morgan County",36.8,27.6,46.3,10.7,4.7,16.8
"23","Alabama","Etowah County",36.7,26.5,47.3,12.3,5.1,19.8
"24","Alabama","St. Clair County",36.4,26.8,46.4,11.7,5.1,18.6
"25","Alabama","Barbour County",36,27.3,45,12.8,5.4,20.4
"26","Alabama","Lowndes County",35.8,23.5,48.6,13.2,4.8,21.9
"27","Alabama","Chambers County",35.5,27,44.3,13.2,5.7,20.9
"28","Alabama","Bullock County",34.9,26.5,43.6,12.2,4.4,20.2
"29","Alabama","Talladega County",34.8,24.7,45.3,11.5,5,18.4
"30","Alabama","Greene County",34.6,23.5,46.1,11.9,4.3,19.7
"31","Alabama","Butler County",34.5,25.8,43.4,11.9,4.9,19
"32","Alabama","Randolph County",34.5,23.9,45.5,12.3,4.9,19.9
"33","Alabama","Geneva County",34.2,23.7,45.1,11.5,4.5,18.7
"34","Alabama","Marshall County",34.2,25.2,43.5,9.9,4.6,15.4
"35","Alabama","Perry County",34,23,45.3,12.6,4.9,20.5
"36","Alabama","Sumter County",33.9,23.3,44.7,12,5,19.2
"37","Alabama","Coosa County",33.8,24.1,44,12.6,5.2,20.3
"38","Alabama","Monroe County",33.7,23,44.7,11.1,4.5,17.9
"39","Alabama","Covington County",33.5,24.9,42.5,12.3,5.1,19.7
"40","Alabama","Hale County",33.2,21.8,45,11.5,4.5,18.9
"41","Alabama","Wilcox County",33.2,21.8,45,12.9,4.9,21.3
"42","Alabama","Clarke County",33.1,23.6,42.9,11.4,4.7,18.4
"43","Alabama","Colbert County",32.8,24.9,41,10.2,4.2,16.5
"44","Alabama","Cullman County",32.6,22.7,42.8,9.8,3.9,16
"45","Alabama","Escambia County",32.5,26.2,39.1,11.5,5.2,18.1
"46","Alabama","Henry County",32.4,22.9,42.2,11,4.3,18
"47","Alabama","Crenshaw County",32,22.6,41.8,11.8,4.7,19.2
"48","Alabama","Blount County",31.9,22.1,42.1,10.2,4.1,16.5
"49","Alabama","Conecuh County",31.7,21.7,42.1,11.6,4.6,19
"50","Alabama","Limestone County",31.6,24.4,39,9.3,3.6,15.2
"51","Alabama","Cherokee County",31.2,19.4,43.5,10.9,4.1,17.9
"52","Alabama","Bibb County",31.1,21.7,40.7,11.3,4.4,18.5
"53","Alabama","Lauderdale County",31.1,23,39.6,9.6,4,15.3
"54","Alabama","Chilton County",30.6,21.3,40.2,11.2,4.5,18.1
"55","Alabama","Walker County",30.5,21.4,39.8,11.3,4.6,18.2
"56","Alabama","Washington County",30.3,19.2,41.8,10.9,4.1,18.1
"57","Alabama","DeKalb County",29.8,19.8,40.2,9.4,3.6,15.4
"58","Alabama","Choctaw County",29.5,18.5,40.8,10.1,3.8,16.6
"59","Alabama","Pickens County",29.5,19.6,39.8,10.3,3.8,17.1
"60","Alabama","Cleburne County",29.4,19.4,39.8,10.6,3.9,17.4
"61","Alabama","Jackson County",29.1,20.9,37.6,8.7,3.8,13.8
"62","Alabama","Clay County",28.9,19.2,39,10.6,4,17.3
"63","Alabama","Winston County",27.3,17,37.9,9.4,3.2,15.9
"64","Alabama","Fayette County",27,18.1,36.2,10.3,3.8,17.1
"65","Alabama","Franklin County",26.3,16.6,36.4,8.9,3,15.1
"66","Alabama","Lawrence County",25.9,16.7,35.4,8.8,3,14.8
"67","Alabama","Lamar County",25.6,16.8,34.8,9.5,3.3,16
"68","Alabama","Marion County",24.9,15,35.2,9.2,3.1,15.6
