"","state","min_both_sexes_binge_rate_2012"
"1","Alabama",8.6
"2","Alaska",14.6
"3","Arizona",14.9
"4","Arkansas",12.1
"5","California",15
"6","Colorado",9.2
"7","Connecticut",18.2
"8","Delaware",17.5
"9","District Of Columbia",22
"10","Florida",12.1
"11","Georgia",10.4
"12","Hawaii",19.7
"13","Idaho",5.9
"14","Illinois",14.7
"15","Indiana",14.1
"16","Iowa",20.4
"17","Kansas",14.2
"18","Kentucky",8.5
"19","Louisiana",11.5
"20","Maine",18.2
"21","Maryland",14.8
"22","Massachusetts",20.5
"23","Michigan",18.5
"24","Minnesota",19.7
"25","Mississippi",9
"26","Missouri",13.5
"27","Montana",18.2
"28","National",18.3
"29","Nebraska",16.3
"30","Nevada",16.2
"31","New Hampshire",18.7
"32","New Jersey",16
"33","New Mexico",12.4
"34","New York",16.1
"35","North Carolina",10.8
"36","North Dakota",20.9
"37","Ohio",13.7
"38","Oklahoma",11
"39","Oregon",15.1
"40","Pennsylvania",14.6
"41","Rhode Island",19.4
"42","South Carolina",11.9
"43","South Dakota",17.4
"44","Tennessee",7.1
"45","Texas",10.8
"46","Utah",6.5
"47","Vermont",19.4
"48","Virginia",9.1
"49","Washington",14.7
"50","West Virginia",9
"51","Wisconsin",23.2
"52","Wyoming",14.4
